record_id,timestamp,device_id,region,temp,pressure,humidity,vibration,status,power_kw,load_score
1,2024-02-01 00:00:00,73317,R4,22.21,101.05,72.88,0.812,ok,5.343,11.417
2,2024-02-01 00:00:30,85469,R1,24.66,101.71,80.86,0.509,ok,4.418,11.512
3,2024-02-01 00:01:00,40725,R3,26.36,105.69,75.03,0.988,ok,6.474,14.844
4,2024-02-01 00:01:30,72292,R2,27.99,103.18,81.79,1.329,ok,4.41,13.387
5,2024-02-01 00:02:00,33865,R2,23.54,101.67,74.55,1.343,ok,5.698,14.537
6,2024-02-01 00:02:30,29447,R4,16.23,103.97,73.06,0.028,fail,3.187,9.466
7,2024-02-01 00:03:00,26706,R2,13.78,102.95,60.65,0.755,ok,6.842,11.655
8,2024-02-01 00:03:30,21286,R2,22.73,100.9,60.42,0.929,ok,5.301,12.932
9,2024-02-01 00:04:00,69102,R4,25.26,100.43,57.47,1.322,ok,7.81,15.393
10,2024-02-01 00:04:30,43755,R1,26.85,100.0,38.6,0.532,ok,5.014,11.463
11,2024-02-01 00:05:00,26137,R3,31.43,100.68,62.8,2.303,ok,4.973,13.991
12,2024-02-01 00:05:30,77849,R2,23.57,99.04,30.65,1.297,ok,4.437,8.495
13,2024-02-01 00:06:00,37577,R4,15.51,102.28,43.53,0.687,ok,5.536,9.302
14,2024-02-01 00:06:30,76166,R3,20.32,100.42,54.27,0.401,warn,5.425,11.779
15,2024-02-01 00:07:00,43649,R4,27.39,101.07,77.04,0.489,ok,5.646,13.187
16,2024-02-01 00:07:30,47159,R2,26.95,100.02,37.36,0.635,ok,5.288,11.502
17,2024-02-01 00:08:00,97624,R1,26.84,103.1,38.55,0.294,ok,7.09,11.58
18,2024-02-01 00:08:30,68043,R3,28.86,97.5,90.98,0.332,ok,6.749,17.591
19,2024-02-01 00:09:00,28899,R1,25.11,102.38,37.5,0.532,ok,6.02,11.932
20,2024-02-01 00:09:30,84177,R3,22.44,102.18,56.4,0.239,ok,7.703,12.959
21,2024-02-01 00:10:00,43376,R1,19.19,101.88,48.19,0.077,ok,5.77,12.671
22,2024-02-01 00:10:30,15965,R2,25.56,100.88,23.07,0.596,ok,7.241,11.471
23,2024-02-01 00:11:00,43559,R1,19.26,101.26,74.01,0.055,ok,6.857,12.504
24,2024-02-01 00:11:30,58446,R3,18.86,101.26,56.7,1.248,ok,6.549,11.347
25,2024-02-01 00:12:00,78672,R1,23.13,100.48,58.46,0.487,ok,8.614,12.859
26,2024-02-01 00:12:30,78027,R1,25.84,101.89,54.03,1.023,warn,6.703,13.865
27,2024-02-01 00:13:00,87451,R1,24.26,102.55,83.68,1.042,ok,6.273,14.325
28,2024-02-01 00:13:30,84278,R1,25.61,102.45,90.82,0.126,ok,4.966,13.423
29,2024-02-01 00:14:00,79230,R2,22.42,99.54,68.8,0.873,ok,5.375,12.219
30,2024-02-01 00:14:30,29719,R1,33.53,100.87,75.22,1.636,ok,4.45,13.754
31,2024-02-01 00:15:00,95569,R1,27.11,104.64,34.2,0.349,ok,5.551,11.021
32,2024-02-01 00:15:30,53553,R3,16.7,103.17,63.98,1.371,ok,4.951,10.224
33,2024-02-01 00:16:00,26397,R1,26.1,101.68,30.93,1.155,ok,4.357,10.196
34,2024-02-01 00:16:30,42950,R2,20.54,99.69,20.08,1.215,ok,4.686,8.246
35,2024-02-01 00:17:00,41663,R4,24.86,100.41,28.69,0.628,ok,4.905,9.592
36,2024-02-01 00:17:30,33881,R4,26.57,102.2,75.28,1.697,ok,4.21,12.561
37,2024-02-01 00:18:00,75636,R1,29.32,99.9,84.42,1.034,ok,4.567,12.852
38,2024-02-01 00:18:30,81848,R2,22.45,100.59,92.12,0.85,ok,3.255,11.892
39,2024-02-01 00:19:00,62765,R4,24.3,98.16,90.64,0.605,ok,4.758,11.841
40,2024-02-01 00:19:30,60413,R4,28.42,101.16,62.95,1.332,ok,7.2,14.225
41,2024-02-01 00:20:00,13517,R1,24.04,100.83,53.2,1.054,ok,5.112,11.158
42,2024-02-01 00:20:30,60595,R1,18.23,102.05,41.36,1.29,ok,4.879,7.893
43,2024-02-01 00:21:00,98179,R1,28.0,101.61,48.87,0.424,ok,4.521,12.419
44,2024-02-01 00:21:30,33930,R1,25.89,103.48,74.35,0.893,warn,3.645,13.357
45,2024-02-01 00:22:00,52026,R1,25.05,98.89,71.45,0.753,fail,4.102,12.595
46,2024-02-01 00:22:30,72815,R3,21.69,102.44,76.67,0.407,ok,5.668,11.912
