record_id,timestamp,device_id,region,temp,pressure,humidity,vibration,status,power_kw,load_score
1,2024-02-01 00:00:00,49876,R2,23.15,101.12,89.66,0.924,warn,6.345,14.531
2,2024-02-01 00:00:30,24399,R2,25.64,98.03,57.77,1.206,ok,4.759,11.211
3,2024-02-01 00:01:00,58785,R1,24.02,100.02,73.88,2.174,ok,7.48,15.309
4,2024-02-01 00:01:30,62734,R4,26.86,97.21,39.67,0.233,ok,3.561,9.321
5,2024-02-01 00:02:00,31812,R1,18.63,104.24,55.42,0.288,ok,3.311,9.715
6,2024-02-01 00:02:30,84144,R1,25.19,100.41,20.34,1.393,ok,3.257,8.2
7,2024-02-01 00:03:00,35801,R4,23.41,104.13,71.16,0.257,ok,4.841,12.703
8,2024-02-01 00:03:30,36753,R4,20.49,102.16,49.41,0.533,ok,4.028,9.413
9,2024-02-01 00:04:00,17867,R2,28.54,98.45,35.25,0.148,ok,4.279,11.011
10,2024-02-01 00:04:30,71640,R3,26.98,96.78,28.08,0.473,ok,5.833,10.778
11,2024-02-01 00:05:00,68195,R1,22.63,103.76,66.85,2.027,ok,4.743,11.306
12,2024-02-01 00:05:30,51749,R2,19.9,99.22,56.93,1.18,ok,5.425,13.629
13,2024-02-01 00:06:00,41366,R1,30.01,101.93,20.33,0.362,ok,4.313,11.301
14,2024-02-01 00:06:30,90221,R4,23.61,104.3,40.49,0.998,ok,6.406,14.164
15,2024-02-01 00:07:00,82237,R4,17.96,105.59,65.25,1.287,ok,5.399,11.245
16,2024-02-01 00:07:30,60838,R2,26.15,97.84,74.47,1.132,fail,6.29,14.688
17,2024-02-01 00:08:00,64836,R4,21.59,104.57,45.99,0.054,ok,4.041,7.585
18,2024-02-01 00:08:30,99386,R3,26.69,100.27,55.18,1.042,ok,6.693,11.461
19,2024-02-01 00:09:00,14830,R2,20.37,97.83,67.96,1.325,ok,5.149,12.788
20,2024-02-01 00:09:30,31826,R1,31.23,102.01,30.45,0.999,ok,4.582,11.189
21,2024-02-01 00:10:00,24584,R4,23.39,100.04,39.5,0.722,ok,6.806,11.315
22,2024-02-01 00:10:30,19836,R1,26.09,99.87,94.04,0.067,ok,4.371,13.728
