record_id,timestamp,device_id,region,temp,pressure,humidity,vibration,status,power_kw,load_score
1,2024-02-01 00:00:00,35059,R1,26.82,102.59,57.39,0.127,ok,5.682,12.361
2,2024-02-01 00:00:30,67436,R3,21.51,100.96,56.21,1.957,ok,4.835,11.056
3,2024-02-01 00:01:00,99234,R4,23.43,103.89,62.33,0.988,ok,5.416,12.6
4,2024-02-01 00:01:30,99230,R4,26.96,96.72,46.55,0.179,warn,3.266,10.088
5,2024-02-01 00:02:00,73281,R3,25.94,103.41,74.73,0.862,ok,5.779,12.049
6,2024-02-01 00:02:30,18705,R4,29.27,102.06,38.91,0.233,ok,3.854,10.611
7,2024-02-01 00:03:00,67806,R4,18.11,103.47,33.67,1.062,ok,3.931,10.287
8,2024-02-01 00:03:30,55602,R4,29.78,100.5,83.88,1.326,ok,5.76,13.805
9,2024-02-01 00:04:00,53183,R4,21.58,99.48,27.03,1.292,ok,5.323,10.381
10,2024-02-01 00:04:30,45679,R4,30.52,101.55,37.55,1.123,ok,5.319,12.172
11,2024-02-01 00:05:00,33881,R3,18.76,101.25,82.42,1.422,ok,4.46,13.016
12,2024-02-01 00:05:30,28541,R2,23.93,101.4,69.93,1.252,ok,7.308,13.814
13,2024-02-01 00:06:00,71515,R1,23.31,101.01,58.68,0.895,ok,5.748,11.429
14,2024-02-01 00:06:30,89502,R4,18.44,101.34,89.1,1.181,ok,5.189,13.252
15,2024-02-01 00:07:00,23196,R1,31.07,100.97,68.22,1.021,warn,6.18,14.599
16,2024-02-01 00:07:30,58642,R3,21.44,104.17,22.67,1.558,ok,6.123,11.251
17,2024-02-01 00:08:00,60718,R1,21.97,101.21,43.82,1.82,ok,4.185,9.656
18,2024-02-01 00:08:30,65097,R2,25.19,102.56,68.25,0.793,ok,5.129,10.569
19,2024-02-01 00:09:00,31819,R3,20.27,99.37,46.13,0.577,ok,5.706,10.958
20,2024-02-01 00:09:30,35682,R3,23.19,100.62,49.72,0.748,ok,4.391,9.86
21,2024-02-01 00:10:00,44396,R4,18.63,98.37,65.59,0.064,ok,7.728,13.778
22,2024-02-01 00:10:30,60044,R3,23.67,104.51,53.49,0.583,ok,5.093,11.618
23,2024-02-01 00:11:00,87262,R1,17.22,98.57,47.98,0.365,ok,3.806,9.204
24,2024-02-01 00:11:30,76030,R1,20.51,104.68,24.14,1.483,ok,3.52,8.478
25,2024-02-01 00:12:00,29279,R2,20.54,101.71,24.91,1.753,ok,5.166,9.53
26,2024-02-01 00:12:30,27898,R1,31.7,100.08,48.31,1.256,ok,5.378,11.269
27,2024-02-01 00:13:00,30393,R1,24.55,94.6,54.31,0.285,ok,4.564,11.727
28,2024-02-01 00:13:30,33828,R3,18.42,101.4,54.94,0.353,ok,5.101,10.991
29,2024-02-01 00:14:00,81244,R2,22.0,97.37,29.08,0.858,ok,5.282,10.735
30,2024-02-01 00:14:30,39291,R2,22.48,101.03,57.32,1.013,ok,4.105,9.813
31,2024-02-01 00:15:00,32592,R2,25.25,100.55,56.01,1.277,ok,3.315,9.952
32,2024-02-01 00:15:30,56288,R4,19.74,99.18,57.7,0.87,warn,5.411,10.609
33,2024-02-01 00:16:00,80292,R3,27.18,102.12,26.34,0.285,ok,5.8,10.274
34,2024-02-01 00:16:30,51027,R3,22.77,100.87,85.22,1.385,ok,3.452,11.719
35,2024-02-01 00:17:00,10375,R2,27.62,103.08,91.65,1.043,ok,7.38,16.541
36,2024-02-01 00:17:30,54497,R2,29.97,98.81,50.2,0.204,ok,6.201,12.806
37,2024-02-01 00:18:00,44965,R1,21.28,98.35,62.55,0.674,ok,5.68,12.872
38,2024-02-01 00:18:30,64134,R2,24.08,100.47,94.86,0.13,ok,5.585,14.558
